colour	x	y	clickSelects	fill
#FF0000	0.622994652406417	0.359198347107438	Franklin	#FF0000
#FF0000	0.248663101604278	0.272099173553719	Gibson	#FF0000
#0000FF	0.601604278074866	0.289078512396694	Harcor	#0000FF
#0000FF	0.344919786096257	0.349285123966942	Harosoy	#0000FF
#FF0000	0.473262032085562	0.398578512396694	Harosoy 63	#FF0000
#FF0000	0.697860962566845	0.67597520661157	Harper	#FF0000
#0000FF	0.302139037433155	0.51453305785124	Hawkeye	#0000FF
#FF0000	0.473262032085562	0.50147520661157	Hawkeye 63	#FF0000
#FF0000	0.815508021390374	0.475057851239669	IA 2021	#FF0000
#FF0000	0.815508021390374	0.43252479338843	IA 2022	#FF0000
#FF0000	0.8475935828877	0.68447520661157	IA 2038	#FF0000
#FF0000	0.868983957219251	0.439714876033058	IA 2050	#FF0000
#FF0000	0.868983957219251	0.344417355371901	IA 2052	#FF0000
#FF0000	0.922459893048128	0.378392561983471	IA 2065	#FF0000
#FF0000	0.901069518716578	0.218223140495868	IA 2068	#FF0000
#FF0000	0.933155080213904	0.43746694214876	IA 2094	#FF0000
#FF0000	0.815508021390374	0.411628099173554	IA 3004	#FF0000
#FF0000	0.8475935828877	0.332950413223141	IA 3010	#FF0000
#FF0000	0.879679144385027	0.299400826446281	IA 3014	#FF0000
#0000FF	0.901069518716578	0.391694214876033	IA 3023	#0000FF
#FF0000	0.911764705882353	0.46504132231405	IA 3024	#FF0000
#0000FF	0.0882352941176471	0.27848347107438	Illini	#0000FF
#FF0000	0.751336898395722	0.244210743801653	Jack	#FF0000
#FF0000	0.751336898395722	0.311876033057851	Kenwood	#FF0000
#FF0000	0.0989304812834225	0.906731404958678	Korean	#FF0000
#FF0000	0.794117647058823	0.461351239669422	KS4694	#FF0000
#0000FF	0.665775401069519	0.535747933884297	Lawrence	#0000FF
#FF0000	0.922459893048128	0.196706611570248	LD00-3309	#FF0000
#0000FF	0.259358288770053	0.251528925619835	Lincoln	#0000FF
#FF0000	0.419786096256685	0.270698347107438	Lindarin	#FF0000
#FF0000	0.901069518716578	0.401413223140496	LN97-15076	#FF0000
#FF0000	0.879679144385027	0.441925619834711	Loda	#FF0000
#FF0000	0.879679144385027	0.457727272727273	LS93-0375	#FF0000
#FF0000	0.815508021390374	0.461260330578512	Macon	#FF0000
#FF0000	0.120320855614973	0.411136363636364	Macoupin	#FF0000
#FF0000	0.163101604278075	0.289396694214876	Mandell	#FF0000
#FF0000	0.82620320855615	0.25204132231405	Maverick	#FF0000
#FF0000	0.227272727272727	0.277090909090909	Mingo	#FF0000
#FF0000	0.719251336898396	0.506847107438017	Morgan	#FF0000
#0000FF	0.141711229946524	0.286322314049587	Mukden	#0000FF
#FF0000	0.815508021390374	0.328148760330579	Mustang	#FF0000
#FF0000	0.911764705882353	0.512421487603306	NE3001	#FF0000
#0000FF	0.633689839572192	0.559520661157025	Oakland	#0000FF
#FF0000	0.82620320855615	0.382293388429752	Omaha	#FF0000
#FF0000	0.836898395721925	0.243615702479339	Pana	#FF0000
#FF0000	0.227272727272727	0.576669421487603	Patoka	#FF0000
#0000FF	0.644385026737968	0.655615702479339	Pella	#0000FF
#FF0000	0.729946524064171	0.549632231404959	Pella 86	#FF0000
#0000FF	0.355614973262032	0.378219008264463	Perry	#0000FF
#FF0000	0.70855614973262	0.566855371900826	Preston	#FF0000
#FF0000	0.751336898395722	0.368322314049587	Private 2- 1	#FF0000
#FF0000	0.804812834224599	0.334677685950413	Private 2-10	#FF0000
#FF0000	0.676470588235294	0.357772727272727	Private 2-11	#FF0000
#FF0000	0.82620320855615	0.296157024793388	Private 2-12	#FF0000
#FF0000	0.954545454545455	0.297814049586777	Private 2-13	#FF0000
#FF0000	0.954545454545455	0.425586776859504	Private 2-14	#FF0000
#FF0000	0.70855614973262	0.36902479338843	Private 2-15	#FF0000
#FF0000	0.804812834224599	0.21450826446281	Private 2-16	#FF0000
#FF0000	0.879679144385027	0.338252066115702	Private 2-17	#FF0000
#FF0000	0.836898395721925	0.332904958677686	Private 2-18	#FF0000
#FF0000	0.922459893048128	0.466020661157025	Private 2-19	#FF0000
#FF0000	0.762032085561497	0.320359504132231	Private 2- 2	#FF0000
#FF0000	0.922459893048128	0.454103305785124	Private 2-20	#FF0000
#FF0000	0.911764705882353	0.387206611570248	Private 2- 3	#FF0000
#FF0000	0.879679144385027	0.311834710743802	Private 2- 4	#FF0000
#FF0000	0.794117647058823	0.435867768595041	Private 2- 5	#FF0000
#FF0000	0.772727272727273	0.230574380165289	Private 2- 6	#FF0000
#FF0000	0.622994652406417	0.336888429752066	Private 2- 7	#FF0000
#FF0000	0.622994652406417	0.378136363636364	Private 2- 8	#FF0000
#FF0000	0.740641711229946	0.3995	Private 2- 9	#FF0000
#0000FF	0.633689839572192	0.249904958677686	Private 3- 1	#0000FF
#FF0000	0.762032085561497	0.354619834710744	Private 3-10	#FF0000
#FF0000	0.82620320855615	0.245537190082645	Private 3-11	#FF0000
#FF0000	0.836898395721925	0.46104958677686	Private 3-12	#FF0000
#FF0000	0.911764705882353	0.299566115702479	Private 3-13	#FF0000
#FF0000	0.943850267379679	0.357342975206612	Private 3-14	#FF0000
#FF0000	0.687165775401069	0.400404958677686	Private 3-15	#FF0000
#FF0000	0.772727272727273	0.406227272727273	Private 3-16	#FF0000
#FF0000	0.783422459893048	0.41500826446281	Private 3-17	#FF0000
#FF0000	0.794117647058823	0.430268595041322	Private 3-18	#FF0000
#FF0000	0.804812834224599	0.377512396694215	Private 3-19	#FF0000
#FF0000	0.719251336898396	0.392045454545455	Private 3- 2	#FF0000
#FF0000	0.868983957219251	0.384342975206611	Private 3-20	#FF0000
#FF0000	0.879679144385027	0.301090909090909	Private 3-21	#FF0000
#FF0000	0.933155080213904	0.55799173553719	Private 3-22	#FF0000
#FF0000	0.933155080213904	0.393669421487603	Private 3-23	#FF0000
#FF0000	0.772727272727273	0.348871900826446	Private 3- 3	#FF0000
#FF0000	0.82620320855615	0.340181818181818	Private 3- 4	#FF0000
#FF0000	0.836898395721925	0.247442148760331	Private 3- 5	#FF0000
#FF0000	0.8475935828877	0.303698347107438	Private 3- 6	#FF0000
#FF0000	0.858288770053476	0.481425619834711	Private 3- 7	#FF0000
#FF0000	0.890374331550802	0.238355371900826	Private 3- 8	#FF0000
#FF0000	0.751336898395722	0.284210743801653	Private 3- 9	#FF0000
#FF0000	0.70855614973262	0.371756198347107	Private 4- 1	#FF0000
#FF0000	0.868983957219251	0.29445867768595	Private 4-10	#FF0000
#FF0000	0.868983957219251	0.396471074380165	Private 4-11	#FF0000
#FF0000	0.580213903743315	0.338090909090909	Private 4-12	#FF0000
#FF0000	0.697860962566845	0.387090909090909	Private 4-13	#FF0000
#FF0000	0.783422459893048	0.326223140495868	Private 4-14	#FF0000
#FF0000	0.794117647058823	0.305623966942149	Private 4-15	#FF0000
#FF0000	0.804812834224599	0.526252066115703	Private 4-16	#FF0000
#FF0000	0.82620320855615	0.262760330578512	Private 4-17	#FF0000
#FF0000	0.836898395721925	0.54204958677686	Private 4-18	#FF0000
#FF0000	0.933155080213904	0.601057851239669	Private 4-19	#FF0000
#FF0000	0.751336898395722	0.314719008264463	Private 4- 2	#FF0000
#FF0000	0.954545454545455	0.383061983471074	Private 4-20	#FF0000
#FF0000	0.783422459893048	0.376012396694215	Private 4- 3	#FF0000
#FF0000	0.879679144385027	0.244309917355372	Private 4- 4	#FF0000
#FF0000	0.911764705882353	0.362219008264463	Private 4- 5	#FF0000
#FF0000	0.655080213903743	0.386950413223141	Private 4- 6	#FF0000
#FF0000	0.655080213903743	0.32948347107438	Private 4- 7	#FF0000
#FF0000	0.762032085561497	0.416566115702479	Private 4- 8	#FF0000
#FF0000	0.762032085561497	0.364305785123967	Private 4- 9	#FF0000
#FF0000	0.772727272727273	0.420747933884298	RCAT Angora	#FF0000
#FF0000	0.729946524064171	0.286322314049587	Resnik	#FF0000
#0000FF	0.205882352941176	0.430417355371901	Richland	#0000FF
#FF0000	0.441176470588235	0.19548347107438	Ross	#FF0000
#FF0000	0.82620320855615	0.531768595041322	Savoy	#FF0000
#FF0000	0.152406417112299	0.337772727272727	Scioto	#FF0000
#0000FF	0.419786096256685	0.36600826446281	Shelby	#0000FF
#FF0000	0.665775401069519	0.514462809917355	Sparks	#FF0000
#FF0000	0.740641711229946	0.433194214876033	Spencer	#FF0000
#FF0000	0.804812834224599	0.278219008264463	Stressland	#FF0000
#FF0000	0.783422459893048	0.490078512396694	Thorne	#FF0000
#FF0000	0.879679144385027	0.295293388429752	U98-311442	#FF0000
#FF0000	0.622994652406417	0.605917355371901	Union	#FF0000
#FF0000	0.633689839572192	0.310210743801653	Vickery	#FF0000
#FF0000	0.31283422459893	0.373847107438017	Wabash	#FF0000
#0000FF	0.483957219251337	0.505004132231405	Wayne	#0000FF
#FF0000	0.56951871657754	0.533855371900826	Wells	#FF0000
#FF0000	0.633689839572192	0.410826446280992	Wells II	#FF0000
#0000FF	0.558823529411765	0.487347107438017	Williams	#0000FF
#FF0000	0.665775401069519	0.440177685950413	Williams 82	#FF0000
#0000FF	0.590909090909091	0.34595867768595	Woodworth	#0000FF
#0000FF	0.697860962566845	0.607673553719008	Zane	#0000FF
